Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Jiaming,2022-02-12 22:06:57,00:16:28,,Single’s Inferno: Season 1: Episode 6,,Chrome PC (Cadmium),00:17:43,Not latest view,US (United States)
Jiaming,2022-02-12 21:48:03,00:17:52,,Single’s Inferno: Season 1: Episode 5,,Chrome PC (Cadmium),00:57:08,00:57:08,US (United States)
Jiaming,2022-02-12 21:46:50,00:01:10,,Single’s Inferno: Season 1: Episode 6,,Chrome PC (Cadmium),00:01:43,Not latest view,US (United States)
Jiaming,2022-02-05 03:00:42,00:00:08,Autoplayed: user action: None; ,Season 1 WTW Teaser: All of Us Are Dead,TEASER_TRAILER,Safari MAC (Cadmium),00:00:08,00:00:08,US (United States)
Jiaming,2022-01-18 02:30:15,00:50:42,,Peaky Blinders: Season 2: Episode 2,,Chrome PC (Cadmium),00:49:25,00:49:25,US (United States)
Jiaming,2022-01-18 01:55:42,00:26:34,,Peaky Blinders: Season 2: Episode 1,,Chrome PC (Cadmium),00:58:43,00:58:43,US (United States)
Jiaming,2022-01-17 20:12:16,00:41:38,,Peaky Blinders: Season 2: Episode 1,,Chrome PC (Cadmium),00:32:30,Not latest view,US (United States)
Jiaming,2022-01-17 19:15:01,00:54:14,,Peaky Blinders: Season 1: Episode 6,,Chrome PC (Cadmium),00:53:43,00:53:43,US (United States)
Jiaming,2022-01-17 19:14:45,00:00:13,Autoplayed: user action: None; ,Trailer: After We Fell,TRAILER,Chrome PC (Cadmium),00:00:13,00:00:13,US (United States)
Jiaming,2022-01-17 04:44:19,00:55:48,,Peaky Blinders: Season 1: Episode 5,,Chrome PC (Cadmium),00:55:42,00:55:42,US (United States)
Jiaming,2022-01-17 04:15:58,00:28:18,,Peaky Blinders: Season 1: Episode 4,,Chrome PC (Cadmium),00:58:03,00:58:03,US (United States)
Jiaming,2022-01-16 23:01:05,00:30:44,,Peaky Blinders: Season 1: Episode 4,,Chrome PC (Cadmium),00:30:48,Not latest view,US (United States)
Jiaming,2022-01-16 21:43:57,00:56:45,,Peaky Blinders: Season 1: Episode 3,,Chrome PC (Cadmium),00:54:49,00:54:49,US (United States)
Jiaming,2022-01-16 21:43:30,00:00:17,Autoplayed: user action: None; ,Season 1 Trailer: Archive 81,TRAILER,Chrome PC (Cadmium),00:00:17,00:00:17,US (United States)
Jiaming,2022-01-04 21:04:32,00:38:29,,Single’s Inferno: Season 1: Episode 5,,Netflix Chrome MAC (Cadmium) HTML 5,00:38:57,Not latest view,US (United States)
Jiaming,2021-12-31 04:40:00,00:01:40,Autoplayed: user action: None; ,Search: WWW: Season 1_hook_01_16x9,HOOK,Samsung 2018 Kant-S UHD TV Smart TV,00:01:40,00:01:40,US (United States)
Jiaming,2021-12-31 04:39:22,00:00:15,Autoplayed: user action: None; ,Season 1 Plot Clip: More than Blue,HOOK,Samsung 2018 Kant-S UHD TV Smart TV,00:00:15,00:00:15,US (United States)
Jiaming,2021-12-31 04:38:34,00:00:08,Autoplayed: user action: None; ,"Nevertheless,: Season 1_hook_primary_16x9",HOOK,Samsung 2018 Kant-S UHD TV Smart TV,00:00:08,00:00:08,US (United States)
Jiaming,2021-12-31 04:38:12,00:00:19,Autoplayed: user action: None; ,Lost in Space: Season 1 Podular: TEXTLESS / Sci-Fi- Drama - Action,TRAILER,Samsung 2018 Kant-S UHD TV Smart TV,00:00:19,00:00:19,US (United States)
Jiaming,2021-12-30 06:41:41,00:00:04,Autoplayed: user action: None; ,Genre Specific Moment Clip: Red Notice,HOOK,Samsung 2018 Kant-S UHD TV Smart TV,00:00:04,00:00:04,US (United States)
Jiaming,2021-12-30 06:39:52,00:00:47,Autoplayed: user action: None; ,Genre Specific Moment Clip: Red Notice,HOOK,Samsung 2018 Kant-S UHD TV Smart TV,00:00:47,Not latest view,US (United States)
Jiaming,2021-12-30 06:39:05,00:00:31,Autoplayed: user action: None; ,Itaewon Class: Season 1_CLIP_MUSIC_NON3,HOOK,Samsung 2018 Kant-S UHD TV Smart TV,00:00:31,00:00:31,US (United States)
Jiaming,2021-12-30 06:04:02,00:33:22,,Single’s Inferno: Season 1: Episode 4,,Samsung 2018 Kant-S UHD TV Smart TV,00:55:53,00:55:53,US (United States)
Jiaming,2021-12-30 04:19:35,00:18:16,,Single’s Inferno: Season 1: Episode 4,,Samsung 2018 Kant-S UHD TV Smart TV,00:22:32,Not latest view,US (United States)
Jiaming,2021-12-30 03:55:03,00:04:06,,Single’s Inferno: Season 1: Episode 4,,Samsung 2018 Kant-S UHD TV Smart TV,00:04:40,Not latest view,US (United States)
Jiaming,2021-12-30 02:54:42,01:00:05,Autoplayed: user action: User_Interaction; ,Single’s Inferno: Season 1: Episode 3,,Samsung 2018 Kant-S UHD TV Smart TV,00:59:34,00:59:34,US (United States)
Jiaming,2021-12-30 01:43:23,01:05:47,Autoplayed: user action: User_Interaction; ,Single’s Inferno: Season 1: Episode 2,,Samsung 2018 Kant-S UHD TV Smart TV,01:06:21,01:06:21,US (United States)
Jiaming,2021-12-30 00:43:50,00:59:12,,Single’s Inferno: Season 1: Episode 1,,Samsung 2018 Kant-S UHD TV Smart TV,01:00:33,01:00:33,US (United States)
Jiaming,2021-12-30 00:43:42,00:00:05,Autoplayed: user action: None; ,Season 1 Teaser 2: Single's Inferno,TEASER_TRAILER,Samsung 2018 Kant-S UHD TV Smart TV,00:00:05,00:00:05,US (United States)
Jiaming,2021-12-29 23:44:11,00:58:48,,Our Beloved Summer: Season 1: Before Sunset (Episode 8),,Samsung 2018 Kant-S UHD TV Smart TV,00:59:19,00:59:19,US (United States)
Jiaming,2021-12-29 23:31:04,00:12:53,Autoplayed: user action: User_Interaction; ,Our Beloved Summer: Season 1: Catch Me If You Can (Episode 7),,Samsung 2018 Kant-S UHD TV Smart TV,01:00:22,01:00:22,US (United States)
Jiaming,2021-12-29 03:47:57,00:46:34,Autoplayed: user action: User_Interaction; ,Our Beloved Summer: Season 1: Catch Me If You Can (Episode 7),,Samsung 2018 Kant-S UHD TV Smart TV,00:47:02,Not latest view,US (United States)
Jiaming,2021-12-28 18:51:20,01:00:31,Autoplayed: user action: User_Interaction; ,Our Beloved Summer: Season 1: Pride and Prejudice (Episode 6),,Samsung 2018 Kant-S UHD TV Smart TV,01:01:02,01:01:02,US (United States)
Jiaming,2021-12-28 04:00:44,00:58:44,,Our Beloved Summer: Season 1: A Secret That Can’t Be Told (Episode 5),,Samsung 2018 Kant-S UHD TV Smart TV,00:59:12,00:59:12,US (United States)
Jiaming,2021-12-28 03:59:56,00:00:11,Autoplayed: user action: None; ,Season 1 Trailer: Single's Inferno,TRAILER,Samsung 2018 Kant-S UHD TV Smart TV,00:00:11,00:00:11,US (United States)
Jiaming,2021-12-28 00:25:22,00:18:49,,The Silent Sea: Season 1: Balhae Lunar Research Station (Episode 1),,Apple iPhone 13 Pro Max,00:18:57,00:18:57,US (United States)
Jiaming,2021-12-28 00:23:52,00:00:02,,The Silent Sea: Season 1: Balhae Lunar Research Station (Episode 1),,Apple iPhone 13 Pro Max,00:00:00,Not latest view,US (United States)
Jiaming,2021-12-27 17:02:36,00:02:10,,Season 1 Trailer: The Silent Sea,TRAILER,Apple iPhone 13 Pro Max,00:02:11,00:02:11,US (United States)
Jiaming,2021-12-25 03:57:19,00:17:39,Autoplayed: user action: User_Interaction; ,Titanic,,LG LG 2017 LG M16 SoC HOTEL STB Set Top Box,00:18:10,00:18:10,US (United States)
Jiaming,2021-12-24 04:25:07,00:00:07,,The Witcher: Season 1: The End’s Beginning (Episode 1),,LG LG 2017 LG M16 SoC HOTEL STB Set Top Box,00:00:08,00:00:08,US (United States)
Jiaming,2021-12-24 03:42:03,00:39:13,Autoplayed: user action: User_Interaction; ,The Witcher: Season 2: Family (Episode 8),,LG LG 2017 LG M16 SoC HOTEL STB Set Top Box,00:49:45,00:49:45,US (United States)
Jiaming,2021-12-23 08:55:12,00:10:59,Autoplayed: user action: None; ,The Witcher: Season 2: Family (Episode 8),,LG LG 2017 LG M16 SoC HOTEL STB Set Top Box,00:11:05,Not latest view,US (United States)
Jiaming,2021-12-23 08:28:11,00:26:37,Autoplayed: user action: User_Interaction; ,The Witcher: Season 2: Voleth Meir (Episode 7),,LG LG 2017 LG M16 SoC HOTEL STB Set Top Box,00:50:24,00:50:24,US (United States)
Jiaming,2021-12-23 08:27:51,00:00:08,Autoplayed: user action: None; ,Season 2 Teaser 1: Emily in Paris,TEASER_TRAILER,LG LG 2017 LG M16 SoC HOTEL STB Set Top Box,00:00:09,00:00:09,US (United States)
Jiaming,2021-12-23 07:43:53,00:12:03,Autoplayed: user action: None; ,The Witcher: Season 2: Voleth Meir (Episode 7),,Apple iPad Air 4th Gen Wi-Fi iPad,00:00:00,Not latest view,US (United States)
Jiaming,2021-12-22 05:44:13,00:52:51,,The Witcher: Season 2: Dear Friend... (Episode 6),,Apple iPhone 13 Pro Max,00:52:55,00:52:55,US (United States)
Jiaming,2021-12-22 04:00:57,00:53:01,,The Witcher: Season 2: Turn Your Back (Episode 5),,Apple iPhone 13 Pro Max,00:52:23,00:52:23,US (United States)
Jiaming,2021-12-22 03:26:44,00:27:57,,The Witcher: Season 2: Redanian Intelligence (Episode 4),,Apple iPhone 13 Pro Max,00:51:22,00:51:22,US (United States)
Jiaming,2021-12-22 03:24:15,00:01:59,,The Witcher: Season 1: Much More (Episode 8),,Apple iPhone 13 Pro Max,00:51:13,00:51:13,US (United States)
Jiaming,2021-12-22 02:59:28,00:24:13,,The Witcher: Season 2: Redanian Intelligence (Episode 4),,Apple iPhone 13 Pro Max,00:24:26,Not latest view,US (United States)
Jiaming,2021-12-22 02:59:14,00:00:09,,The Witcher: Season 2: Redanian Intelligence (Episode 4),,Apple iPhone 13 Pro Max,00:00:10,Not latest view,US (United States)
Jiaming,2021-12-21 20:09:42,00:03:03,,The Witcher: Season 2: What Is Lost (Episode 3),,Apple iPhone 13 Pro Max,00:55:14,00:55:14,US (United States)
Jiaming,2021-12-21 19:08:21,00:51:41,,The Witcher: Season 2: What Is Lost (Episode 3),,Apple iPhone 13 Pro Max,00:51:57,Not latest view,US (United States)
Jiaming,2021-12-21 06:48:47,00:00:18,Autoplayed: user action: None; ,Season 1 Trailer 3: The Witcher,TRAILER,Apple iPhone 13 Pro Max,00:00:19,00:00:19,US (United States)
Jiaming,2021-12-21 04:24:32,01:24:54,Autoplayed: user action: Unspecified; ,Vincenzo: Season 1: Episode 20,,Samsung 2018 Kant-S UHD TV Smart TV,01:25:23,01:25:23,US (United States)
Jiaming,2021-12-21 04:15:07,00:09:21,,Vincenzo: Season 1: Episode 19,,Samsung 2018 Kant-S UHD TV Smart TV,01:25:45,01:25:45,US (United States)
Jiaming,2021-12-21 02:42:02,01:15:04,,Vincenzo: Season 1: Episode 19,,Samsung 2018 Kant-S UHD TV Smart TV,01:16:25,Not latest view,US (United States)
Jiaming,2021-12-21 01:04:23,01:15:11,Autoplayed: user action: User_Interaction; ,Vincenzo: Season 1: Episode 18,,Samsung 2018 Kant-S UHD TV Smart TV,01:16:59,01:16:59,US (United States)
Jiaming,2021-12-20 21:05:51,01:18:00,,Vincenzo: Season 1: Episode 17,,Samsung 2018 Kant-S UHD TV Smart TV,01:18:51,01:18:51,US (United States)
Jiaming,2021-12-20 19:53:08,01:12:38,,Vincenzo: Season 1: Episode 16,,Samsung 2018 Kant-S UHD TV Smart TV,01:13:24,01:13:24,US (United States)
Jiaming,2021-12-20 18:28:09,01:21:36,Autoplayed: user action: User_Interaction; ,Vincenzo: Season 1: Episode 15,,Samsung 2018 Kant-S UHD TV Smart TV,01:21:49,01:21:49,US (United States)
Jiaming,2021-12-20 04:39:46,01:21:13,,Vincenzo: Season 1: Episode 14,,Samsung 2018 Kant-S UHD TV Smart TV,01:22:13,01:22:13,US (United States)
Jiaming,2021-12-20 03:24:31,01:15:01,Autoplayed: user action: User_Interaction; ,Vincenzo: Season 1: Episode 13,,Samsung 2018 Kant-S UHD TV Smart TV,01:16:05,01:16:05,US (United States)
Jiaming,2021-12-20 02:42:14,00:42:02,,Vincenzo: Season 1: Episode 12,,Samsung 2018 Kant-S UHD TV Smart TV,01:21:50,01:21:50,US (United States)
Jiaming,2021-12-20 00:13:27,00:42:21,,Vincenzo: Season 1: Episode 12,,Samsung 2018 Kant-S UHD TV Smart TV,00:43:32,Not latest view,US (United States)
Jiaming,2021-12-19 23:44:19,00:29:02,,Vincenzo: Season 1: Episode 11,,Samsung 2018 Kant-S UHD TV Smart TV,01:19:18,01:19:18,US (United States)
Jiaming,2021-12-19 22:24:30,00:17:45,,Vincenzo: Season 1: Episode 11,,Samsung 2018 Kant-S UHD TV Smart TV,00:50:16,Not latest view,US (United States)
Jiaming,2021-12-19 22:23:21,00:00:07,Autoplayed: user action: None; ,Season 2 Plot Clip: The Witcher,HOOK,Samsung 2018 Kant-S UHD TV Smart TV,00:00:07,00:00:07,US (United States)
Jiaming,2021-11-30 21:08:35,00:05:26,,Light the Night: Part 1: Episode 2,,Chrome PC (Cadmium),00:05:21,00:05:21,US (United States)
Jiaming,2021-11-30 20:24:55,00:43:39,,Light the Night: Part 1: Episode 1,,Chrome PC (Cadmium),00:43:39,00:43:39,US (United States)
Jiaming,2021-11-30 20:23:14,00:00:38,Autoplayed: user action: None; ,Season 4 Relatable Clip: Selling Sunset,HOOK,Chrome PC (Cadmium),00:00:38,00:00:38,US (United States)
Jiaming,2021-11-30 20:23:04,00:00:05,Autoplayed: user action: None; ,Season 1 Teaser: Arcane,TEASER_TRAILER,Chrome PC (Cadmium),00:00:05,00:00:05,US (United States)
Jiaming,2021-11-30 20:22:51,00:00:07,Autoplayed: user action: None; ,Season 1 Teaser: The Witcher,TEASER_TRAILER,Chrome PC (Cadmium),00:00:07,00:00:07,US (United States)
Jiaming,2021-11-30 20:22:38,00:00:12,Autoplayed: user action: None; ,Genre Specific Moment Clip: Red Notice,HOOK,Chrome PC (Cadmium),00:00:12,Not latest view,US (United States)
Jiaming,2021-11-30 20:21:17,00:00:17,Autoplayed: user action: None; ,Part 1 Cliffhanger Clip: Light the Night,HOOK,Chrome PC (Cadmium),00:00:17,00:00:17,US (United States)
Jiaming,2021-11-27 18:16:48,00:00:16,Autoplayed: user action: None; ,Teaser 1: True Story,TEASER_TRAILER,Chrome PC (Cadmium),00:00:16,00:00:16,US (United States)
Jiaming,2021-11-23 20:57:59,00:00:07,Autoplayed: user action: None; ,Crash Landing on You: Season 1_CLIP_MUSIC_NON3,HOOK,Chrome PC (Cadmium),00:00:07,00:00:07,US (United States)
Jiaming,2021-11-23 05:32:10,00:36:27,Autoplayed: user action: User_Interaction; ,Arcane: Season 1: The Monster You Created (Episode 9),,Samsung 2018 Kant-S UHD TV Smart TV,00:37:21,00:37:21,US (United States)
Jiaming,2021-11-23 05:23:28,00:02:43,,Arcane: Season 1: The Monster You Created (Episode 9),,Samsung 2018 Kant-S UHD TV Smart TV,00:02:43,Not latest view,US (United States)
Jiaming,2021-11-23 05:22:59,00:00:20,Autoplayed: user action: None; ,Move to Heaven: Season 1 (Hook 1),HOOK,Samsung 2018 Kant-S UHD TV Smart TV,00:00:20,00:00:20,US (United States)
Jiaming,2021-11-22 05:30:20,00:00:01,Autoplayed: user action: None; ,Arcane: Season 1: The Monster You Created (Episode 9),,Samsung 2018 Kant-S UHD TV Smart TV,00:00:19,Not latest view,US (United States)
Jiaming,2021-11-22 04:54:54,00:35:20,Autoplayed: user action: User_Interaction; ,Arcane: Season 1: Oil and Water (Episode 8),,Samsung 2018 Kant-S UHD TV Smart TV,00:36:33,00:36:33,US (United States)
Jiaming,2021-11-22 04:19:34,00:35:14,Autoplayed: user action: User_Interaction; ,Arcane: Season 1: The Boy Savior (Episode 7),,Samsung 2018 Kant-S UHD TV Smart TV,00:36:25,00:36:25,US (United States)
Jiaming,2021-11-22 03:57:01,00:22:01,Autoplayed: user action: User_Interaction; ,Arcane: Season 1: When These Walls Come Tumbling Down (Episode 6),,Samsung 2018 Kant-S UHD TV Smart TV,00:38:25,00:38:25,US (United States)
Jiaming,2021-11-21 18:59:18,00:15:28,,Arcane: Season 1: When These Walls Come Tumbling Down (Episode 6),,Safari MAC (Cadmium),00:16:25,Not latest view,US (United States)
Jiaming,2021-11-21 18:58:18,00:00:41,,Arcane: Season 1: Everybody Wants to Be My Enemy (Episode 5),,Safari MAC (Cadmium),00:36:39,00:36:39,US (United States)
Jiaming,2021-11-21 18:58:10,00:00:05,,Arcane: Season 1: When These Walls Come Tumbling Down (Episode 6),,Safari MAC (Cadmium),00:00:05,Not latest view,US (United States)
Jiaming,2021-11-21 18:57:53,00:00:09,,Arcane: Season 1: When These Walls Come Tumbling Down (Episode 6),,Safari MAC (Cadmium),00:00:39,Not latest view,US (United States)
Jiaming,2021-11-21 18:57:35,00:00:14,Autoplayed: user action: None; ,Inspector Koo: Season 1_hook_01_16x9,HOOK,Safari MAC (Cadmium),00:00:14,00:00:14,US (United States)
Jiaming,2021-11-21 05:46:44,00:35:43,,Arcane: Season 1: Everybody Wants to Be My Enemy (Episode 5),,Samsung 2018 Kant-S UHD TV Smart TV,00:36:55,Not latest view,US (United States)
Jiaming,2021-11-21 05:10:38,00:36:00,,Arcane: Season 1: Happy Progress Day! (Episode 4),,Samsung 2018 Kant-S UHD TV Smart TV,00:36:58,00:36:58,US (United States)
Jiaming,2021-11-21 04:31:54,00:38:32,,Arcane: Season 1: The Base Violence Necessary for Change (Episode 3),,Samsung 2018 Kant-S UHD TV Smart TV,00:39:44,00:39:44,US (United States)
Jiaming,2021-11-21 04:24:06,00:07:40,,Arcane: Season 1: Some Mysteries Are Better Left Unsolved (Episode 2),,Samsung 2018 Kant-S UHD TV Smart TV,00:36:43,00:36:43,US (United States)
Jiaming,2021-11-20 22:27:11,00:28:47,,Arcane: Season 1: Some Mysteries Are Better Left Unsolved (Episode 2),,Samsung 2018 Kant-S UHD TV Smart TV,00:29:53,Not latest view,US (United States)
Jiaming,2021-11-20 21:48:08,00:38:53,,Arcane: Season 1: Welcome to the Playground (Episode 1),,Samsung 2018 Kant-S UHD TV Smart TV,00:39:48,00:39:48,US (United States)
Jiaming,2021-11-20 21:47:41,00:00:06,Autoplayed: user action: User_Interaction; ,Arcane: Season 1: The Boy Savior (Episode 7),,Samsung 2018 Kant-S UHD TV Smart TV,00:00:06,Not latest view,US (United States)
Jiaming,2021-11-20 20:08:35,00:16:27,,Arcane: Season 1: The Boy Savior (Episode 7),,Safari MAC (Cadmium),00:18:09,Not latest view,US (United States)
Jiaming,2021-11-20 19:21:59,00:37:17,,Arcane: Season 1: When These Walls Come Tumbling Down (Episode 6),,Safari MAC (Cadmium),00:38:21,Not latest view,US (United States)
Jiaming,2021-11-20 18:44:53,00:36:30,,Arcane: Season 1: Everybody Wants to Be My Enemy (Episode 5),,Safari MAC (Cadmium),00:36:57,Not latest view,US (United States)
Jiaming,2021-11-20 18:44:41,00:00:05,Autoplayed: user action: None; ,Season 1 Trailer: Cowboy Bebop,TRAILER,Safari MAC (Cadmium),00:00:05,00:00:05,US (United States)
Jiaming,2021-11-20 18:40:11,00:04:23,,Arcane: Season 1: Happy Progress Day! (Episode 4),,Safari MAC (Cadmium),00:37:06,Not latest view,US (United States)
Jiaming,2021-11-20 18:06:15,00:33:14,,Arcane: Season 1: Happy Progress Day! (Episode 4),,Safari MAC (Cadmium),00:32:43,Not latest view,US (United States)
Jiaming,2021-11-20 18:06:03,00:00:05,Autoplayed: user action: None; ,Season 1 Trailer: Hellbound,TRAILER,Safari MAC (Cadmium),00:00:05,00:00:05,US (United States)
Jiaming,2021-11-11 23:54:37,00:32:58,Autoplayed: user action: Unspecified; ,You: Season 2: Fear and Loathing in Beverly Hills (Episode 8),,Samsung 2018 Kant-S UHD TV Smart TV,00:32:34,00:32:34,US (United States)
Jiaming,2021-11-10 03:13:47,00:29:32,,My Name: Season 1: Episode 1,,Chrome PC (Cadmium),00:36:53,00:36:53,US (United States)
Jiaming,2021-11-10 03:12:05,00:00:02,,"Love, Death & Robots: Volume 1: ICE AGE (Episode 16)",,Chrome PC (Cadmium),00:00:23,00:00:23,US (United States)
Jiaming,2021-11-10 02:52:11,00:15:38,,"Love, Death & Robots: Volume 2: Pop Squad (Episode 3)",,Chrome PC (Cadmium),00:15:38,00:15:38,US (United States)
Jiaming,2021-11-10 02:51:58,00:00:12,,"Love, Death & Robots: Volume 1: SUCKER OF SOULS (Episode 5)",,Chrome PC (Cadmium),00:00:33,00:00:33,US (United States)
Jiaming,2021-11-10 02:47:20,00:04:36,,"Love, Death & Robots: Volume 1: WHEN THE YOGURT TOOK OVER (Episode 6)",,Chrome PC (Cadmium),00:05:05,00:05:05,US (United States)
Jiaming,2021-11-10 02:46:55,00:00:04,Autoplayed: user action: None; ,Trailer: New Gods: Nezha Reborn,TRAILER,Chrome PC (Cadmium),00:00:04,00:00:04,US (United States)
Jiaming,2021-11-10 02:46:39,00:00:06,Autoplayed: user action: None; ,"Volume 2 Trailer: Love, Death & Robots",TRAILER,Chrome PC (Cadmium),00:00:06,00:00:06,US (United States)
Jiaming,2021-11-10 02:46:22,00:00:15,Autoplayed: user action: None; ,Resident Evil Anime War Horror Clip,HOOK,Chrome PC (Cadmium),00:00:15,00:00:15,US (United States)
Jiaming,2021-11-09 23:47:08,00:39:39,,Arcane: Season 1: The Base Violence Necessary for Change (Episode 3),,Chrome PC (Cadmium),00:39:49,Not latest view,US (United States)
Jiaming,2021-11-09 23:11:25,00:35:41,,Arcane: Season 1: Some Mysteries Are Better Left Unsolved (Episode 2),,Chrome PC (Cadmium),00:36:42,Not latest view,US (United States)
Jiaming,2021-11-09 22:30:48,00:39:21,,Arcane: Season 1: Welcome to the Playground (Episode 1),,Chrome PC (Cadmium),00:39:47,Not latest view,US (United States)
Jiaming,2021-11-09 22:30:34,00:00:11,Autoplayed: user action: None; ,Itaewon Class: Season 1_CLIP_MUSIC_NON1,HOOK,Chrome PC (Cadmium),00:00:11,00:00:11,US (United States)
Jiaming,2021-11-09 16:24:31,00:00:01,,Arcane: Season 1: Welcome to the Playground (Episode 1),,Chrome PC (Cadmium),00:00:01,Not latest view,US (United States)
Jiaming,2021-11-09 14:26:25,00:00:06,Autoplayed: user action: None; ,Season 1 Teaser 2: My Name,TEASER_TRAILER,Chrome PC (Cadmium),00:00:06,00:00:06,US (United States)
Jiaming,2021-11-09 14:26:16,00:00:12,Autoplayed: user action: None; ,Season 1 Plot Clip: Arcane,HOOK,Chrome PC (Cadmium),00:00:12,00:00:12,US (United States)
Jiaming,2021-11-08 23:58:11,00:13:38,Autoplayed: user action: User_Interaction; ,You: Season 2: Fear and Loathing in Beverly Hills (Episode 8),,Samsung 2018 Kant-S UHD TV Smart TV,00:13:55,Not latest view,US (United States)
Jiaming,2021-11-08 23:08:55,00:49:10,,You: Season 2: Ex-istential Crisis (Episode 7),,Samsung 2018 Kant-S UHD TV Smart TV,00:49:26,00:49:26,US (United States)
Jiaming,2021-11-08 23:04:30,00:02:37,,"You: Season 2: Farewell, My Bunny (Episode 6)",,Samsung 2018 Kant-S UHD TV Smart TV,00:45:26,00:45:26,US (United States)
Jiaming,2021-11-08 23:01:47,00:02:19,Autoplayed: user action: User_Interaction; ,You: Season 2: Ex-istential Crisis (Episode 7),,Samsung 2018 Kant-S UHD TV Smart TV,00:02:19,Not latest view,US (United States)
Jiaming,2021-11-05 22:30:53,00:46:40,,"You: Season 2: Farewell, My Bunny (Episode 6)",,Samsung 2018 Kant-S UHD TV Smart TV,00:44:21,Not latest view,US (United States)
Jiaming,2021-11-05 22:30:37,00:00:06,Autoplayed: user action: None; ,You: Season 1 (Trailer),TRAILER,Samsung 2018 Kant-S UHD TV Smart TV,00:00:07,00:00:07,US (United States)
Jiaming,2021-11-05 22:29:54,00:00:16,Autoplayed: user action: None; ,Law School: Season 1_hook_02_16x9,HOOK,Samsung 2018 Kant-S UHD TV Smart TV,00:00:16,00:00:16,US (United States)
Jiaming,2021-11-05 02:43:33,00:00:03,Autoplayed: user action: None; ,"You: Season 2: Farewell, My Bunny (Episode 6)",,Samsung 2018 Kant-S UHD TV Smart TV,00:00:19,Not latest view,US (United States)
Jiaming,2021-11-05 01:55:06,00:48:22,,"You: Season 2: Have a Good Wellkend, Joe! (Episode 5)",,Samsung 2018 Kant-S UHD TV Smart TV,00:48:38,00:48:38,US (United States)
Jiaming,2021-11-05 01:07:23,00:47:39,,"You: Season 2: The Good, the Bad, & the Hendy (Episode 4)",,Samsung 2018 Kant-S UHD TV Smart TV,00:47:55,00:47:55,US (United States)
Jiaming,2021-11-05 00:18:32,00:48:46,,You: Season 2: What Are Friends For? (Episode 3),,Samsung 2018 Kant-S UHD TV Smart TV,00:48:46,00:48:46,US (United States)
Jiaming,2021-11-05 00:18:19,00:00:01,Autoplayed: user action: None; ,"You: Season 2: The Good, the Bad, & the Hendy (Episode 4)",,Samsung 2018 Kant-S UHD TV Smart TV,00:03:27,Not latest view,US (United States)
Jiaming,2021-11-05 00:14:51,00:03:11,,"You: Season 2: The Good, the Bad, & the Hendy (Episode 4)",,Samsung 2018 Kant-S UHD TV Smart TV,00:03:27,Not latest view,US (United States)
Jiaming,2021-11-04 23:41:03,00:33:43,,You: Season 2: What Are Friends For? (Episode 3),,Samsung 2018 Kant-S UHD TV Smart TV,00:48:45,Not latest view,US (United States)
